College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,LLM,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,BA LLB Self Finance,5 Years,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Cyber Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Anti Corruption Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Air and Space Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Air and Space Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Human Rights,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,Diploma in Corporate Law,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Taxation Laws,1 Year,"Boys Hostel, Girls Hostel"
"New Law College Pune - Bharati Vidyapeeth Deemed University, New Law College, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-new-law-college-pune,Law,Satara,Private,PG Diploma in Merger and Acquisition,1 Year,"Boys Hostel, Girls Hostel"
