College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"AISSMS Institute of Information Technology - All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-institute-of-information-technology-pune,Engineering,Pune,Private,Ph.D Electronics and Telecommunication,6 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Artificial Intelligence and Machine Learning,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Computer Engineering,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Civil Engineering,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Mechanical Engineering,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Electronics and Telecommunications Engineering,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Information Technology,3 Years,"Boys Hostel, Girls Hostel"
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",https://www.careers360.com/colleges/all-india-shri-shivaji-memorial-societys-polytechnic-pune,Engineering,Pune,Private,Diploma in Automobile Engineering,3 Years,"Boys Hostel, Girls Hostel"
"AIT Pune - Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune,Engineering,Pune,Private,BE Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AIT Pune - Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune,Engineering,Pune,Private,BE Information Technology,4 Years,"Boys Hostel, Girls Hostel"
"AIT Pune - Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune,Engineering,Pune,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"AIT Pune - Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune,Engineering,Pune,Private,ME Data Science,2 Years,"Boys Hostel, Girls Hostel"
"AIT Pune - Army Institute of Technology, Pune",https://www.careers360.com/colleges/army-institute-of-technology-pune,Engineering,Pune,Private,BE Computer Engineering,4 Years,"Boys Hostel, Girls Hostel"
"Asian College of Science and Commerce, Pune",https://www.careers360.com/colleges/asian-college-of-science-and-commerce-pune,Engineering,Pune,Private,M.Sc Computer Science,2 Years,
"Asian College of Science and Commerce, Pune",https://www.careers360.com/colleges/asian-college-of-science-and-commerce-pune,Engineering,Pune,Private,B.Sc Computer Science,3 Years,
"Asian College of Science and Commerce, Pune",https://www.careers360.com/colleges/asian-college-of-science-and-commerce-pune,Engineering,Pune,Private,M.Sc Data Science,2 Years,
"Asian College of Science and Commerce, Pune",https://www.careers360.com/colleges/asian-college-of-science-and-commerce-pune,Engineering,Pune,Private,M.Sc Electronics,2 Years,
"Bharati Vidyapeeth Deemed University Amplify Department of Information Technology and Management, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-amplify-department-of-information-technology-and-management-pune,Engineering,Pune,Private,BE Network Management and Cloud Infrastructure Hons,4 Years,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth Deemed University Amplify Department of Information Technology and Management, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-amplify-department-of-information-technology-and-management-pune,Engineering,Pune,Private,BE Software Engineering Hons,4 Years,"Boys Hostel, Girls Hostel"
"Bharati Vidyapeeth Deemed University Amplify Department of Information Technology and Management, Pune",https://www.careers360.com/colleges/bharati-vidyapeeth-deemed-university-amplify-department-of-information-technology-and-management-pune,Engineering,Pune,Private,M.Sc Information Technology,2 Years,"Boys Hostel, Girls Hostel"
