College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Karmaveer Shantarmbapu Kondaji Wavare Arts Science and Commerce College, Nashik",https://www.careers360.com/colleges/karmaveer-shantarmbapu-kondaji-wavare-arts-science-and-commerce-college-nashik,Management,Nashik,N/A,B.Sc Botany,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,BBA,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,BBA Computer Apllication,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,B.Sc Cyber and Digital Science,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,M.Sc Computer Science,2 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,B.Sc Biotechnology,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,B.Sc Microbiology,3 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,M.Sc Biotechnology,2 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,M.Sc Microbiology,2 Years,N/A
"KK Wagh Arts, Commerce, Science and Computer Science College, Nashik",https://www.careers360.com/colleges/kk-wagh-arts-commerce-science-and-computer-science-college-nashik,Management,Nashik,Private,B.Sc Computer Science,3 Years,N/A
"KK Wagh College of Agricultural Business Management, Nashik",https://www.careers360.com/colleges/kk-wagh-college-of-agricultural-business-management-nashik,Management,Nashik,Private,B.Sc Agriculture Business Management Hons,4 Years,N/A
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Electrical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,MBA,2 Years,"Boys Hostel, Girls Hostel"
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,B.Tech Information Technology,4 Years,"Boys Hostel, Girls Hostel"
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Artificial Intelligence and Data Science,4 Years,"Boys Hostel, Girls Hostel"
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Mechanical Engineering,4 Years,"Boys Hostel, Girls Hostel"
"KK Wagh Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/kk-wagh-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Electronics and Telecommunication Engineering,4 Years,"Boys Hostel, Girls Hostel"
